Sepal_Length,Sepal_Width,Petal_Length,Petal_Width,Species
5.8,2.9,2.3,0.7,Burwood
5.8,2.9,2.3,0.7,Burwood
5.8,2.9,2.3,0.7,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
5.8,5,2.3,0.4,Burwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,3.7,0.6,Elwood
6.776,3.7,2.8,0.6,Elwood
6.776,3.7,2.8,0.6,Elwood
6.776,3.7,2.8,0.6,Elwood
6.776,4.6,2.8,0.6,Elwood
2.312,4.6,2.8,0.6,Elwood
2.5,4.6,2.8,0.6,Elwood
2.5,4.6,2.8,0.4,Elwood
2.5,4.6,2.8,0.4,Elwood
2.5,4.6,2.8,0.4,Elwood
2.5,4.6,2.8,0.4,Elwood
2.5,4.6,2.5,0.4,Elwood
2.5,4.6,2.5,0.4,Elwood
2.5,4.6,2.5,0.4,Elwood
2.5,4.6,2.5,0.4,Elwood
2.5,2.8,2.5,0.4,Elwood
2.5,2.8,2.5,0.4,Elwood
2.5,2.8,2.5,0.38,Elwood
2.5,2.8,2.5,0.38,Elwood
8.9,2.8,2.5,0.38,Elwood
8.9,2.8,2.5,0.38,Elwood
8.9,2.8,2.5,0.38,Elwood
8.9,2.8,2.5,0.38,Elwood
8.9,4.1,1.6,0.38,Elwood
8.9,4.1,1.6,0.38,Elwood
8.9,4.1,1.6,0.38,Elwood
8.9,4.1,1.6,0.38,Elwood
8.9,4.1,1.6,0.38,Elwood
8.9,4.1,1.6,0.9,Elwood
8.9,4.1,1.6,0.9,Elwood
8.9,4.1,1.6,0.9,Elwood
8.9,4.1,1.6,0.9,Elwood
8.9,4.1,1.6,0.9,Elwood
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
9.7,3.887,1.76,0.76,Doncaster
8.6,4.443,1.76,0.76,Doncaster
8.6,4.443,1.76,0.62,Doncaster
8.6,4.443,1.76,0.62,Doncaster
8.6,4.443,2.32,0.62,Doncaster
8.6,4.443,2.32,0.62,Doncaster
8.6,4.443,2.32,0.62,Doncaster
8.6,4.443,2.32,0.62,Doncaster
8.6,4.443,2.32,0.62,Doncaster
8.6,4.443,2.32,0.62,Doncaster
8.6,4.443,2.32,0.62,Doncaster
8.6,2.343,2.32,0.62,Doncaster
8.6,2.343,2.32,0.62,Doncaster
8.6,2.343,2.32,0.59,Doncaster
7.5324,2.343,2.32,0.59,Doncaster
7.5324,2.343,2.32,0.59,Doncaster
7.5324,2.343,8.96,0.59,Doncaster
7.5324,2.343,8.96,0.59,Doncaster
7.5324,2.343,8.96,0.59,Doncaster
7.5324,2.343,8.96,0.59,Doncaster
7.5324,1.785,8.96,0.59,Doncaster
7.5324,1.785,8.96,0.59,Doncaster
7.5324,1.785,8.96,0.59,Doncaster
7.5324,1.785,7.75,0.59,Doncaster
7.2321,1.785,7.75,0.59,Doncaster
7.2321,1.785,7.75,0.44,Doncaster
7.2321,1.785,7.75,0.44,Doncaster
7.2321,1.785,7.75,0.44,Doncaster
7.2321,1.785,7.75,0.44,Doncaster
7.2321,1.785,7.75,0.44,Doncaster
7.2321,2.345,7.75,0.44,Doncaster
7.2321,2.345,7.75,0.44,Doncaster
7.2321,2.345,6.89,0.44,Doncaster
7.2321,2.345,6.89,0.44,Doncaster
7.2321,2.345,6.89,0.44,Doncaster
2.333,2.345,6.89,0.44,Doncaster
2.333,2.345,6.89,0.44,Doncaster
2.333,2.345,6.89,0.44,Doncaster
